genome.acc	system	system.number	seqid	system.subtype	genome	domain	phylum	class	order	family	genus	species
GCA_000006805.1	AbiE	2	AE004438.1	AbiE	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000006805.1	AbiE	4	AF016485.1	AbiE	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000006805.1	AbiE	5	AF016485.1	AbiE	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000006805.1	PDC-S70	6	AF016485.1	PDC-S70	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000006805.1	RM	1	AE004437.1	RM_type_I	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000006805.1	SoFic	3	AE004438.1	SoFic	GCA_000006805	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
GCA_000007005.1	PDC-S01	3	AE006641.1	PDC-S01	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	PDC-S01	4	AE006641.1	PDC-S01	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	PDC-S01	5	AE006641.1	PDC-S01	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	PDC-S01	6	AE006641.1	PDC-S01	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	PDC-S27	7	AE006641.1	PDC-S27	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	10	AE006641.1	cas_type_I-A	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	11	AE006641.1	cas_type_III-B	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	12	AE006641.1	cas_type_III-B	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	13	AE006641.1	cas_type_other	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	14	AE006641.1	cas_type_other	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	15	AE006641.1	cas_type_other	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	8	AE006641.1	cas_type_I-A	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007005.1	cas	9	AE006641.1	cas_type_I-A	GCA_000007005	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
GCA_000007065.1	AVAST	1	AE008384.1	AVAST_type_IV	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S01	10	AE008384.1	PDC-S01	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S01	11	AE008384.1	PDC-S01	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S02	12	AE008384.1	PDC-S02	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S02	13	AE008384.1	PDC-S02	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S05	14	AE008384.1	PDC-S05	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S09	15	AE008384.1	PDC-S09	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S09	16	AE008384.1	PDC-S09	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S09	17	AE008384.1	PDC-S09	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S09	18	AE008384.1	PDC-S09	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S09	19	AE008384.1	PDC-S09	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S27	20	AE008384.1	PDC-S27	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S37	21	AE008384.1	PDC-S37	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	PDC-S70	22	AE008384.1	PDC-S70	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	RM	23	AE008384.1	RM_type_I	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	RM	24	AE008384.1	RM_type_I	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	RM	25	AE008384.1	RM_type_I	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
GCA_000007065.1	RM	26	AE008384.1	RM_type_II	GCA_000007065	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
